titulo;url;municipio;uf;categoria;latitude;longitude;tipo_localizacao;localizacao_confirmada;qtd_municipio;qtd_categoria;data
Homem em situação de rua morre em frente a igreja no litoral de SP;https://g1.globo.com/sp/santos-regiao/noticia/2025/05/19/homem-em-situacao-de-rua-morre-em-frente-a-igreja-no-litoral-de-sp.ghtml;Guarujá;35;Outros;-23.9951195935049;-46.259069462030986;municipio;True;1;93;2025-05-19 00:00:00
Pessoas em situação de rua são maioria das vítimas de homicídios no Plano Piloto;https://www.correiobraziliense.com.br/cidades-df/2025/10/7278447-pessoas-em-situacao-de-rua-sao-maioria-das-vitimas-de-homicidios-no-plano-piloto.html;Brasília;53;Violência;-15.775581493667104;-47.90982892323772;municipio;True;10;34;2025-10-07 00:00:00
"""Um a menos"", Ewerton morreu embaixo de uma árvore e sozinho";https://www.campograndenews.com.br/cidades/capital/um-a-menos-ewerton-morreu-embaixo-de-uma-arvore-e-sozinho;Campo Grande;50;Morte;-20.451828960972982;-54.62947617944098;municipio;True;7;199;2026-04-16 13:55:01.641130
"Homem em situação de rua é espancado no DF antes de ser morto; vídeo";https://www.metropoles.com/distrito-federal/homem-em-situacao-de-rua-e-espancado-no-df-antes-de-ser-morto-video;Quadra;35;Morte;-23.306967128645535;-48.06040538044332;municipio;True;1;199;2026-04-16 13:55:04.442466
Morre homem em situação de rua que teve corpo incendiado em Curitiba;https://g1.globo.com/pr/parana/noticia/2026/03/23/morre-homem-em-situacao-de-rua-que-teve-corpo-incendiado-em-curitiba.ghtml;Curitiba;41;Outros;-25.423300627818172;-49.27948391982567;municipio;True;3;93;2026-03-23 00:00:00
Resultado de busca por pessoa-em-situacao-de-rua;https://sbtnews.sbt.com.br/search?q=pessoa-em-situacao-de-rua;Não Identificado;NI;Outros;-14.234746836839157;-51.905345625997555;municipio;True;75;93;2026-04-16 13:55:07.828749
Duas pessoas em situação de rua morrem após serem atropeladas;https://g1.globo.com/ba/bahia/noticia/2025/04/22/duas-pessoas-em-situacao-de-rua-morrem-apos-serem-atropeladas-na-bahia.ghtml;Teixeira;25;Outros;-7.219080890342107;-37.233809303911215;municipio;True;3;93;2025-04-22 00:00:00
Pessoa em situação de rua é morta a tiros no Bairro Santo Antônio;https://www.em.com.br/gerais/2025/05/7134697-pessoa-em-situacao-de-rua-e-baleada-apos-discussao-em-bh.html;Mariana;31;Morte;-20.37820712971201;-43.42529670238668;municipio;True;1;199;2025-05-07 00:00:00
Homem em situação de rua é baleado e morto na região da Cracolândia em SP;https://www.cartacapital.com.br/sociedade/homem-em-situacao-de-rua-e-baleado-e-morto-na-regiao-da-cracolandia-em-sp/;Central;29;Morte;-11.157181409797007;-42.100141112526;municipio;True;23;199;2022-05-13 15:42:46+00:00
Duas pessoas em situação de rua são mortas a tiros ao lado da estação do metrô de Irajá;https://odia.ig.com.br/rio-de-janeiro/2025/10/7147286-duas-pessoas-em-situacao-de-rua-sao-mortas-a-tiros-ao-lado-da-estacao-do-metro-de-iraja.html;Estação;43;Morte;-27.911943642384625;-52.27212067856499;municipio;True;5;199;2025-10-07 00:00:00
"Homem em situação de rua é morto brutalmente em praça de Barra do Piraí; mulher é presa em flagrante";https://grupokbum.com.br/detalhe-noticia/336/homem-em-situacao-de-rua-e-morto-brutalmente-em-praca-de-barra-do-pirai-mulher-e-presa-em-flagrante;Barbosa;35;Morte;-21.267432678998773;-49.93430282234916;municipio;True;1;199;2026-04-16 13:55:14.281088
Homem em situação de rua morre na calçada de SP em uma das noites mais frias do ano;https://www.brasildefato.com.br/2022/08/21/homem-em-situacao-de-rua-morre-na-calcada-de-sp-em-uma-das-noites-mais-frias-do-ano;Paulista;26;Morte;-7.9466361093780415;-34.87608821153272;municipio;True;4;199;2022-08-21 00:00:00
Morador em situação de rua morre em centro de convivência em São Paulo;https://brasilagoraonline.com.br/noticias/2022/05/morador-em-situacao-de-rua-morre-em-centro-de-convivencia-em-sao-paulo/;Central;29;Morte;-11.147417574840443;-42.129203314250255;municipio;True;23;199;2022-05-18 23:07:42+00:00
Pessoa em situação de rua morre após noite mais fria do ano em São Paulo;https://cultura.uol.com.br/noticias/49071_pessoa-em-situacao-de-rua-morre-apos-noite-mais-fria-do-ano-em-sao-paulo.html;Campanha;31;Morte;-21.83234938897846;-45.39147974329169;municipio;True;2;199;2026-04-16 13:55:19.717597
